id, value
Gehörsinn,
Gehörsinn.Verben,
Gehörsinn.Verben.hören,
Gehörsinn.Verben.hören.AAAAAAA,1001
Gehörsinn.Verben.anhören,
Gehörsinn.Verben.anhören.BAAAAAA,1002
Gehörsinn.Verben.sich abhören,
Gehörsinn.Verben.sich abhören.CAAAAAA,1003
Gehörsinn.Verben.verhören,
Gehörsinn.Verben.verhören.DAAAAAA,1004
Gehörsinn.Verben.zuhören,
Gehörsinn.Verben.zuhören.EAAAAAA,1005
Gehörsinn.Verben.horchen,
Gehörsinn.Verben.horchen.FAAAAAA,1006
Gehörsinn.Verben.aushorchen,
Gehörsinn.Verben.aushorchen.GAAAAAA,10007
Gehörsinn.Verben.aufschnappen,
Gehörsinn.Verben.aufschnappen.HAAAAAA,1008
Gehörsinn.Verben.empfangen,
Gehörsinn.Verben.empfangen.IAAAAAA,1009
Gehörsinn.Verben.lauschen,
Gehörsinn.Verben.lauschen.JAAAAAA,1010
Gehörsinn.Verben.belauschen,
Gehörsinn.Verben.belauschen.KAAAAAA,1011
Gehörsinn.Verben.vernhemen,
Gehörsinn.Verben.vernhemen.LAAAAAA,1012
Gehörsinn.Verben.wahrnhemen,
Gehörsinn.Verben.wahrnhemen.MAAAAAA,1013
Gehörsinn.Verben.verstehen,
Gehörsinn.Verben.verstehen.NAAAAAA,1014
Gehörsinn.Substantive
Gehörsinn.Adjektive-Adverbien